archetype,scenario,seed,year,techs,researchActive,scholars,allTechDone
passive,baseline,42,29,2,,0,0
passive,baseline,42,30,2,,0,0
passive,baseline,42,31,2,,0,0
passive,baseline,42,32,2,,0,0
passive,baseline,42,33,2,,0,0
passive,baseline,42,34,2,,0,0
passive,baseline,42,35,2,,0,0
passive,baseline,42,36,2,,0,0
passive,baseline,42,37,2,,0,0
passive,baseline,42,38,2,,0,0
passive,baseline,42,39,2,,0,0
passive,baseline,42,40,2,,0,0
passive,baseline,42,41,2,,0,0
passive,baseline,42,42,2,,0,0
passive,baseline,42,43,2,,0,0
passive,baseline,42,44,2,,0,0
passive,baseline,42,45,2,,0,0
conquest,baseline,7,1,2,horsemanship,0,0
conquest,baseline,7,2,2,horsemanship,0,0
conquest,baseline,7,3,2,horsemanship,0,0
conquest,baseline,7,4,2,horsemanship,0,0
conquest,baseline,7,5,2,horsemanship,0,0
conquest,baseline,7,6,3,,0,0
conquest,baseline,7,7,3,masonry,0,0
conquest,baseline,7,8,3,masonry,0,0
conquest,baseline,7,9,3,masonry,0,0
conquest,baseline,7,10,3,masonry,0,0
conquest,baseline,7,11,3,masonry,0,0
conquest,baseline,7,12,3,masonry,0,0
conquest,baseline,7,13,3,masonry,0,0
conquest,baseline,7,14,4,,0,0
conquest,baseline,7,15,4,engineering,0,0
conquest,baseline,7,16,4,engineering,0,0
conquest,baseline,7,17,4,engineering,0,0
conquest,baseline,7,18,4,engineering,0,0
conquest,baseline,7,19,4,engineering,0,0
conquest,baseline,7,20,4,engineering,0,0
conquest,baseline,7,21,4,engineering,0,0
conquest,baseline,7,22,4,engineering,0,0
conquest,baseline,7,23,4,engineering,0,0
conquest,baseline,7,24,4,engineering,0,0
conquest,baseline,7,25,4,engineering,0,0
conquest,baseline,7,26,4,engineering,0,0
conquest,baseline,7,27,5,,0,0
conquest,baseline,7,28,5,,0,0
conquest,baseline,7,29,5,,0,0
conquest,baseline,7,30,5,,0,0
conquest,baseline,7,31,5,,0,0
conquest,baseline,7,32,5,,0,0
conquest,baseline,7,33,5,,0,0
conquest,baseline,7,34,5,,0,0
conquest,baseline,7,35,5,,0,0
conquest,baseline,7,36,5,,0,0
conquest,baseline,7,37,5,,0,0
conquest,baseline,7,38,5,,0,0
conquest,baseline,19,1,2,horsemanship,0,0
conquest,baseline,19,2,2,horsemanship,0,0
conquest,baseline,19,3,3,,0,0
conquest,baseline,19,4,3,masonry,0,0
conquest,baseline,19,5,3,masonry,0,0
conquest,baseline,19,6,3,masonry,0,0
conquest,baseline,19,7,4,,0,0
conquest,baseline,19,8,4,engineering,0,0
conquest,baseline,19,9,4,engineering,0,0
conquest,baseline,19,10,4,engineering,0,0
conquest,baseline,19,11,4,engineering,0,0
