archetype,seed,year,spyPosts,freeSpies,spyTech
merchant,7,58,0,0,0
merchant,7,59,0,0,0
merchant,7,60,0,0,0
merchant,7,61,0,0,0
merchant,7,62,0,0,0
merchant,7,63,0,0,0
merchant,7,64,0,0,0
merchant,7,65,0,0,0
merchant,7,66,0,0,0
merchant,7,67,0,0,0
merchant,7,68,0,0,0
merchant,7,69,0,0,0
merchant,7,70,0,0,0
merchant,7,71,0,0,0
merchant,7,72,0,0,0
merchant,7,73,0,0,0
merchant,7,74,0,0,0
merchant,7,75,0,0,0
merchant,7,76,0,0,0
merchant,7,77,0,0,0
merchant,7,78,0,0,0
merchant,7,79,0,0,0
merchant,7,80,0,0,0
merchant,7,81,0,0,0
merchant,7,82,0,0,0
merchant,7,83,0,0,0
merchant,7,84,0,0,0
merchant,7,85,0,0,0
merchant,7,86,0,0,0
merchant,7,87,0,0,0
merchant,7,88,0,0,0
merchant,7,89,0,0,0
merchant,7,90,0,0,0
merchant,7,91,0,0,0
merchant,7,92,0,0,0
merchant,7,93,0,0,0
merchant,7,94,0,0,0
merchant,7,95,0,0,0
merchant,7,96,0,0,0
merchant,7,97,0,0,0
merchant,7,98,0,0,0
merchant,7,99,0,0,0
merchant,7,100,0,0,0
merchant,42,1,0,0,0
merchant,42,2,0,0,0
merchant,42,3,0,0,0
merchant,42,4,0,0,0
merchant,42,5,0,0,0
merchant,42,6,0,0,0
merchant,42,7,0,0,0
merchant,42,8,0,0,0
merchant,42,9,0,0,0
merchant,42,10,0,0,0
merchant,42,11,0,0,0
merchant,42,12,0,0,0
merchant,42,13,0,0,0
merchant,42,14,0,0,0
merchant,42,15,0,0,0
merchant,42,16,0,0,0
merchant,42,17,0,0,0
merchant,42,18,0,0,0
merchant,42,19,0,0,0
merchant,42,20,0,0,0
merchant,42,21,0,0,0
merchant,42,22,0,0,0
merchant,42,23,0,0,0
merchant,42,24,0,0,0
merchant,42,25,0,0,0
merchant,42,26,0,0,0
merchant,42,27,0,0,0
merchant,42,28,0,0,0
merchant,42,29,0,0,0
merchant,42,30,0,0,0
merchant,42,31,0,0,0
merchant,42,32,0,0,0
merchant,42,33,0,0,0
merchant,42,34,0,0,0
merchant,42,35,0,0,0
merchant,42,36,0,0,0
merchant,42,37,0,0,0
merchant,42,38,0,0,0
merchant,42,39,0,0,0
merchant,42,40,0,0,0
merchant,42,41,0,0,0
merchant,42,42,0,0,0
merchant,42,43,0,0,0
merchant,42,44,0,0,0
merchant,42,45,0,0,0
merchant,42,46,0,0,0
merchant,42,47,0,0,0
merchant,42,48,0,0,0
merchant,42,49,0,0,0
merchant,42,50,0,0,0
merchant,42,51,0,0,0
merchant,42,52,0,0,0
merchant,42,53,0,0,0
merchant,42,54,0,0,0
merchant,42,55,0,0,0
merchant,42,56,0,0,0
merchant,42,57,0,0,0
merchant,42,58,0,0,0
merchant,42,59,0,0,0
merchant,42,60,0,0,0
merchant,42,61,0,0,0
merchant,42,62,0,0,0
merchant,42,63,0,0,0
merchant,42,64,0,0,0
merchant,42,65,0,0,0
merchant,42,66,0,0,0
merchant,42,67,0,0,0
merchant,42,68,0,0,0
merchant,42,69,0,0,0
merchant,42,70,0,0,0
merchant,42,71,0,0,0
merchant,42,72,0,0,0
merchant,42,73,0,0,0
merchant,42,74,0,0,0
merchant,42,75,0,0,0
merchant,42,76,0,0,0
merchant,42,77,0,0,0
merchant,42,78,0,0,0
merchant,42,79,0,0,0
merchant,42,80,0,0,0
merchant,42,81,0,0,0
merchant,42,82,0,0,0
merchant,42,83,0,0,0
merchant,42,84,0,0,0
merchant,42,85,0,0,0
merchant,42,86,0,0,0
merchant,42,87,0,0,0
merchant,42,88,0,0,0
merchant,42,89,0,0,0
merchant,42,90,0,0,0
merchant,42,91,0,0,0
merchant,42,92,0,0,0
merchant,42,93,0,0,0
merchant,42,94,0,0,0
merchant,42,95,0,0,0
merchant,42,96,0,0,0
merchant,42,97,0,0,0
merchant,42,98,0,0,0
merchant,42,99,0,0,0
merchant,42,100,0,0,0
nomad,7,1,0,0,0
nomad,7,2,0,0,0
nomad,7,3,0,0,0
nomad,7,4,0,0,0
nomad,7,5,0,0,0
nomad,7,6,0,0,0
nomad,7,7,0,0,0
nomad,7,8,0,0,0
nomad,7,9,0,0,0
nomad,7,10,0,0,0
nomad,7,11,0,0,0
nomad,7,12,0,0,0
nomad,7,13,0,0,0
nomad,7,14,0,0,0
nomad,7,15,0,0,0
nomad,7,16,0,0,0
nomad,7,17,0,0,0
nomad,7,18,0,0,0
nomad,7,19,0,0,0
nomad,7,20,0,0,0
nomad,7,21,0,0,0
nomad,7,22,0,0,0
nomad,7,23,0,0,0
nomad,7,24,0,0,0
nomad,7,25,0,0,0
nomad,42,1,0,0,0
nomad,42,2,0,0,0
nomad,42,3,0,0,0
nomad,42,4,0,0,0
nomad,42,5,0,0,0
nomad,42,6,0,0,0
nomad,42,7,0,0,0
nomad,42,8,0,0,0
nomad,42,9,0,0,0
nomad,42,10,0,0,0
nomad,42,11,0,0,0
nomad,42,12,0,0,0
nomad,42,13,0,0,0
nomad,42,14,0,0,0
nomad,42,15,0,0,0
nomad,42,16,0,0,0
nomad,42,17,0,0,0
nomad,42,18,0,0,0
nomad,42,19,0,0,0
nomad,42,20,0,0,0
nomad,42,21,0,0,0
nomad,42,22,0,0,0
nomad,42,23,0,0,0
nomad,42,24,0,0,0
nomad,42,25,0,0,0
nomad,42,26,0,0,0
nomad,42,27,0,0,0
nomad,42,28,0,0,0
builder,7,1,0,0,0
builder,7,2,0,0,0
builder,7,3,0,0,0
builder,7,4,0,0,0
builder,7,5,0,0,0
builder,7,6,0,0,0
builder,7,7,0,0,0
builder,7,8,0,0,0
builder,7,9,0,0,0
builder,7,10,0,0,0
builder,7,11,0,0,0
builder,7,12,0,0,0
builder,7,13,0,0,0
builder,7,14,0,0,0
builder,7,15,0,0,0
builder,7,16,0,0,0
builder,7,17,0,0,0
builder,7,18,0,0,0
builder,7,19,0,0,0
builder,7,20,0,0,0
builder,7,21,0,0,0
builder,7,22,0,0,0
builder,7,23,0,0,0
builder,7,24,0,0,0
builder,7,25,0,0,0
builder,7,26,0,0,0
builder,7,27,0,0,0
builder,7,28,0,0,0
builder,7,29,0,0,0
builder,7,30,0,0,0
builder,42,1,0,0,0
builder,42,2,0,0,0
builder,42,3,0,0,0
builder,42,4,0,0,0
builder,42,5,0,0,0
builder,42,6,0,0,0
builder,42,7,0,0,0
builder,42,8,0,0,0
builder,42,9,0,0,0
builder,42,10,0,0,0
builder,42,11,0,0,0
builder,42,12,0,0,0
builder,42,13,0,0,0
builder,42,14,0,0,0
builder,42,15,0,0,0
builder,42,16,0,0,0
builder,42,17,0,0,0
builder,42,18,0,0,0
builder,42,19,0,0,0
builder,42,20,0,0,0
builder,42,21,0,0,0
builder,42,22,0,0,0
builder,42,23,0,0,0
builder,42,24,0,0,0
builder,42,25,0,0,0
builder,42,26,0,0,0
builder,42,27,0,0,0
builder,42,28,0,0,0
builder,42,29,0,0,0
builder,42,30,0,0,0
builder,42,31,0,0,0
builder,42,32,0,0,0
builder,42,33,0,0,0
builder,42,34,0,0,0
builder,42,35,0,0,0
builder,42,36,0,0,0
builder,42,37,0,0,0
builder,42,38,0,0,0
builder,42,39,0,0,0
builder,42,40,0,0,0
builder,42,41,0,0,0
builder,42,42,0,0,0
builder,42,43,0,0,0
builder,42,44,0,0,0
builder,42,45,0,0,0
builder,42,46,0,0,0
builder,42,47,0,0,0
builder,42,48,0,0,0
builder,42,49,0,0,0
builder,42,50,0,0,0
builder,42,51,0,0,0
builder,42,52,0,0,0
builder,42,53,0,0,0
builder,42,54,0,0,0
builder,42,55,0,0,0
builder,42,56,0,0,0
builder,42,57,0,0,0
builder,42,58,0,0,0
builder,42,59,0,0,0
builder,42,60,0,0,0
builder,42,61,0,0,0
builder,42,62,0,0,0
builder,42,63,0,0,0
builder,42,64,0,0,0
builder,42,65,0,0,0
builder,42,66,0,0,0
builder,42,67,0,0,0
builder,42,68,0,0,0
builder,42,69,0,0,0
builder,42,70,0,0,0
builder,42,71,0,0,0
builder,42,72,0,0,0
builder,42,73,0,0,0
builder,42,74,0,0,0
builder,42,75,0,0,0
builder,42,76,0,0,0
builder,42,77,0,0,0
builder,42,78,0,0,0
builder,42,79,0,0,0
builder,42,80,0,0,0
builder,42,81,0,0,0
